close_time,open,high,low,close,volume,trade_count,SMA50,SMA100,SMA200,next_two_candles
2022-10-12 19:59:59.999,19154.97,19174.62,18551.22,19147.59,353.815881,7077,,,,Down
2022-10-12 20:59:59.999,19147.95,19155.61,19092.6,19107.0,363.982351,7072,,,,Neutral
2022-10-12 21:59:59.999,19106.98,19111.61,19019.64,19086.66,392.695115,7094,,,,Up
2022-10-12 22:59:59.999,19086.66,19113.73,19035.9,19089.12,370.679433,7358,,,,Neutral
2022-10-12 23:59:59.999,19089.12,19096.78,18540.99,19093.15,461.480172,9879,,,,Down
2022-10-13 00:59:59.999,19093.82,19112.12,18526.78,19090.53,571.373741,13138,,,,Down
2022-10-13 01:59:59.999,19090.53,19507.02,18471.54,19060.49,559.399707,12552,,,,Neutral
2022-10-13 02:59:59.999,19060.44,19842.05,18413.18,19008.91,387.255487,7620,,,,Neutral
2022-10-13 03:59:59.999,19008.91,19037.33,18961.98,19009.83,470.618313,10753,,,,Down
2022-10-13 04:59:59.999,19010.24,19038.9,18846.0,18993.06,504.908344,11430,,,,Neutral
2022-10-13 05:59:59.999,18992.53,19099.0,18368.83,18690.0,440.953766,8582,,,,Neutral
2022-10-13 06:59:59.999,18690.83,18909.35,18482.8,18753.58,424.64365,8656,,,,Neutral
2022-10-13 07:59:59.999,18752.91,20073.96,18210.44,18384.68,478.419207,9575,,,,Neutral
2022-10-13 08:59:59.999,18387.19,18476.56,18118.45,18430.03,458.917245,9539,,,,Neutral
2022-10-13 09:59:59.999,18430.03,18729.61,18000.0,18415.04,546.437042,10614,,,,Up
2022-10-13 10:59:59.999,18414.25,19042.22,17932.81,18953.67,560.419442,11820,,,,Up
2022-10-13 11:59:59.999,18954.36,19191.61,18904.18,19085.37,429.352514,9420,,,,Up
2022-10-13 12:59:59.999,19085.37,19221.64,19067.36,19157.4,416.115488,8949,,,,Neutral
2022-10-13 13:59:59.999,19156.66,19503.6,19143.23,19414.5,412.52042,8982,,,,Neutral
2022-10-13 14:59:59.999,19417.75,19462.98,19320.46,19368.7,401.682213,8054,,,,Up
2022-10-13 15:59:59.999,19368.83,19487.43,17874.02,19382.82,354.239787,7409,,,,Up
2022-10-13 16:59:59.999,19383.63,19433.09,19331.51,19402.19,289.447709,6313,,,,Neutral
2022-10-13 17:59:59.999,19401.53,19454.34,19386.58,19431.34,312.327157,6201,,,,Neutral
2022-10-13 18:59:59.999,19431.12,19440.17,19356.4,19375.42,290.209797,5854,,,,Up
2022-10-13 19:59:59.999,19378.66,19442.95,19339.58,19408.93,361.262269,7371,,,,Neutral
2022-10-13 20:59:59.999,19405.93,19946.64,19395.54,19863.12,417.992891,8797,,,,Down
2022-10-13 21:59:59.999,19860.37,19889.94,17801.07,19828.73,387.131625,7859,,,,Down
