close_time,open,high,low,close,volume,trade_count,SMA50,SMA100,SMA200,next_two_candles
2022-10-12 19:59:59.999,1294.54,1296.65,1292.28,1296.65,220.86701,676,,,,Down
2022-10-12 20:59:59.999,1296.2,1298.95,1291.77,1292.76,296.19179,865,,,,Down
2022-10-12 21:59:59.999,1292.74,1293.06,1282.24,1286.73,568.47897,1617,,,,Down
2022-10-12 22:59:59.999,1286.44,1288.15,1285.09,1286.47,237.72073,746,,,,Neutral
2022-10-12 23:59:59.999,1286.47,1286.47,1282.23,1284.58,219.61939,699,,,,Neutral
2022-10-13 00:59:59.999,1284.4,1289.22,1279.52,1287.41,357.57466,1111,,,,Down
2022-10-13 01:59:59.999,1287.45,1288.91,1282.77,1283.94,277.28076,827,,,,Neutral
2022-10-13 02:59:59.999,1283.69,1283.93,1271.66,1277.6,753.44151,2228,,,,Neutral
2022-10-13 03:59:59.999,1277.46,1280.6,1273.56,1278.13,421.42994,1285,,,,Down
2022-10-13 04:59:59.999,1278.04,1279.36,1272.03,1273.44,384.65217,1223,,,,Neutral
2022-10-13 05:59:59.999,1273.51,1274.99,1200.0,1243.0,1668.0171,6919,,,,Neutral
2022-10-13 06:59:59.999,1242.65,1292.02,1229.0,1243.07,981.6879,3092,,,,Neutral
2022-10-13 07:59:59.999,1243.08,1299.0,1191.98,1216.04,1554.00822,4795,,,,Neutral
2022-10-13 08:59:59.999,1215.93,1226.78,1205.51,1222.36,1585.15438,4490,,,,Neutral
2022-10-13 09:59:59.999,1221.97,1228.72,1130.25,1221.98,1327.67768,3764,,,,Up
2022-10-13 10:59:59.999,1222.02,1299.0,1219.07,1256.58,1786.89053,5269,,,,Up
2022-10-13 11:59:59.999,1256.57,1270.72,1251.24,1265.19,1358.20944,4092,,,,Up
2022-10-13 12:59:59.999,1265.31,1281.81,1265.31,1274.93,1063.09459,3311,,,,Up
2022-10-13 13:59:59.999,1274.86,1289.3,892.64,1285.63,1160.54214,3399,,,,Up
2022-10-13 14:59:59.999,1285.34,1294.59,1283.68,1286.71,980.557,2983,,,,Up
2022-10-13 15:59:59.999,1286.73,1300.0,1286.53,1293.44,695.50064,2202,,,,Neutral
2022-10-13 16:59:59.999,1293.66,1296.39,1287.73,1295.08,300.09938,956,,,,Down
2022-10-13 17:59:59.999,1294.77,1297.57,1291.18,1292.47,602.91879,1506,,,,Neutral
2022-10-13 18:59:59.999,1292.44,1292.97,1285.6,1287.03,419.94793,1292,,,,Up
2022-10-13 19:59:59.999,1287.09,1292.73,1200.0,1290.34,577.08199,1837,,,,Up
2022-10-13 20:59:59.999,1290.12,1334.0,1290.12,1329.14,1007.48144,3145,,,,Neutral
2022-10-13 21:59:59.999,1328.97,1336.22,1324.05,1332.52,875.7972,2721,,,,Down
2022-10-13 22:59:59.999,1332.61,1340.79,1099.97,1329.72,667.32774,2137,,,,Down
2022-10-13 23:59:59.999,1329.75,1332.03,1326.3,1327.02,400.98823,1336,,,,Down
